epoch,loss,loss_bcs_value,loss_res_value,err_val,runtime
1, 0.9997097849845886, 2.799452431645477e-06, 0.9997069835662842, 0.9999786615371704, 0
1001, 0.6077008843421936, 0.007100038230419159, 0.6006008386611938, 0.9484986066818237, 35.16012716293335
2001, 0.7479887008666992, 0.006674516946077347, 0.741314172744751, 0.9843267202377319, 70.28386783599854
3001, 0.8475953936576843, 0.00959559716284275, 0.8379998207092285, 0.9764503836631775, 105.57416653633118
4001, 0.9665708541870117, 0.0012766465079039335, 0.9652941823005676, 0.9998281002044678, 141.1429169178009
5001, 0.8695482015609741, 0.0052377013489604, 0.8643105030059814, 0.9864884614944458, 176.66428971290588
6001, 0.5218501687049866, 0.008742690086364746, 0.5131074786186218, 0.8912616968154907, 212.30719232559204
7001, 0.6476094126701355, 0.0032907549757510424, 0.6443186402320862, 0.960109531879425, 247.85429310798645
8001, 0.41921404004096985, 0.012691524811089039, 0.4065225124359131, 0.7383158206939697, 283.47491359710693
9001, 0.5895882844924927, 0.006801079958677292, 0.5827872157096863, 0.9424614310264587, 319.06313252449036
10001, 0.3329601287841797, 0.009396922774612904, 0.32356321811676025, 0.511789858341217, 354.635782957077
11001, 0.3208489418029785, 0.009410466067492962, 0.3114384710788727, 0.42458435893058777, 390.3584232330322
12001, 0.43592900037765503, 0.0089969951659441, 0.4269320070743561, 0.8315931558609009, 425.82996344566345
13001, 0.3576779067516327, 0.008956086821854115, 0.34872183203697205, 0.4060457944869995, 461.34852838516235
14001, 0.2401130050420761, 0.007119715679436922, 0.23299328982830048, 0.19111022353172302, 497.07948422431946
15001, 0.4276496469974518, 0.014852630905807018, 0.4127970039844513, 0.6897721290588379, 532.740615606308
16001, 0.6441826224327087, 0.01016799733042717, 0.6340146064758301, 0.8636768460273743, 568.4738440513611
17001, 1.2104798555374146, 0.020596910268068314, 1.1898829936981201, 0.1783168613910675, 604.1978509426117
18001, 0.2506949007511139, 0.003772066906094551, 0.2469228208065033, 0.15876583755016327, 639.6904401779175
19001, 0.22722381353378296, 0.005693180486559868, 0.22153063118457794, 0.15481603145599365, 675.3349900245667
20001, 0.24298138916492462, 0.0035863779485225677, 0.23939500749111176, 0.18618734180927277, 710.7558732032776
21001, 0.31534790992736816, 0.00680962111800909, 0.3085382878780365, 0.4401123821735382, 746.1638875007629
22001, 0.4001908302307129, 0.008323561400175095, 0.3918672800064087, 0.7620819211006165, 781.7534537315369
23001, 0.19279251992702484, 0.002268032403662801, 0.19052448868751526, 0.10997550934553146, 817.5029203891754
24001, 0.8036282062530518, 0.007039187476038933, 0.7965890169143677, 0.9513630867004395, 853.0578620433807
25001, 0.45210516452789307, 0.020874179899692535, 0.43123099207878113, 0.49031081795692444, 888.6833209991455
26001, 0.4439828395843506, 0.012060392647981644, 0.43192243576049805, 0.22980719804763794, 924.474671125412
27001, 0.37871238589286804, 0.01853901892900467, 0.36017337441444397, 0.4899904131889343, 960.2135927677155
28001, 0.41864442825317383, 0.026688717305660248, 0.391955703496933, 0.20796991884708405, 995.5912733078003
29001, 0.1819286197423935, 0.004671011585742235, 0.17725761234760284, 0.1426013708114624, 1031.1511373519897
30001, 0.23351533710956573, 0.006314238533377647, 0.22720110416412354, 0.22278402745723724, 1066.6641833782196
31001, 0.16074268519878387, 0.0035794973373413086, 0.15716318786144257, 0.11928859353065491, 1102.2631108760834
32001, 0.23400090634822845, 0.012524071149528027, 0.22147683799266815, 0.23510566353797913, 1138.0274815559387
33001, 0.13802580535411835, 0.002521469723433256, 0.1355043351650238, 0.10269759595394135, 1173.69695520401
34001, 0.6192046999931335, 0.008594326674938202, 0.6106103658676147, 0.9247351288795471, 1209.3770854473114
35001, 0.3081611096858978, 0.007981667295098305, 0.30017945170402527, 0.1964135468006134, 1244.9794371128082
36001, 0.12991346418857574, 0.005887233652174473, 0.12402622401714325, 0.07662812620401382, 1280.7585163116455
37001, 0.1989162564277649, 0.005177195183932781, 0.19373905658721924, 0.07180164754390717, 1316.5580568313599
38001, 0.16575202345848083, 0.005502007901668549, 0.16025002300739288, 0.16462531685829163, 1352.06196641922
39001, 0.11931059509515762, 0.002390613779425621, 0.11691997945308685, 0.09606929868459702, 1387.6491286754608
40001, 0.10665806382894516, 0.0029542238917201757, 0.10370384156703949, 0.06571454554796219, 1423.2154607772827
41001, 0.11035136133432388, 0.0023952247574925423, 0.10795613378286362, 0.08605921268463135, 1459.0096642971039
42001, 0.10707028210163116, 0.0029559568502008915, 0.10411432385444641, 0.06871293485164642, 1494.4735107421875
43001, 0.10130535066127777, 0.0036569288931787014, 0.09764841943979263, 0.05581624060869217, 1530.1498730182648
44001, 0.09439323842525482, 0.0020801136270165443, 0.09231312572956085, 0.06531532853841782, 1565.7331504821777
45001, 0.09701021015644073, 0.0018053227104246616, 0.09520488977432251, 0.06259952485561371, 1601.355525970459
46001, 0.08685591071844101, 0.002020312938839197, 0.08483559638261795, 0.054545361548662186, 1637.2235701084137
47001, 0.1080688089132309, 0.0023160928394645452, 0.10575271397829056, 0.08078842610120773, 1672.886458158493
48001, 0.08942495286464691, 0.0024284683167934418, 0.08699648082256317, 0.06342802941799164, 1708.3819994926453
49001, 0.0866323858499527, 0.0017258349107578397, 0.08490654826164246, 0.05221498757600784, 1744.038153886795
50001, 0.08037877827882767, 0.0025789092760533094, 0.07779987156391144, 0.05522258207201958, 1779.7014265060425
51001, 0.08683399856090546, 0.0011399167124181986, 0.0856940820813179, 0.04262740537524223, 1815.5791969299316
