epoch,loss,loss_ics_value,loss_bcs_value,loss_res_value,err_val,runtime
1, 1.0617398023605347, 0.3356524109840393, 0.6578623056411743, 0.2245885282754898, 3.1495649814605713, 0
1001, 0.052099961787462234, 0.0014897676883265376, 0.0025164447724819183, 0.02015548199415207, 0.3587895631790161, 136.1539716720581
2001, 0.03417636454105377, 0.0005765888490714133, 0.0006509051308967173, 0.021637964993715286, 0.33593836426734924, 272.42692041397095
3001, 0.03342272341251373, 0.0005589108914136887, 0.0008923717541620135, 0.021122753620147705, 0.3281598687171936, 408.7994055747986
4001, 0.02886279486119747, 0.00022936514869797975, 0.0009046577615663409, 0.022694144397974014, 0.3006870448589325, 545.1915040016174
5001, 0.026515085250139236, 0.00020006514387205243, 0.000374997325707227, 0.021477142348885536, 0.2916436195373535, 681.638484954834
6001, 0.026734881103038788, 0.0002900818653870374, 0.0009977290173992515, 0.019885577261447906, 0.2969432473182678, 818.0468497276306
7001, 0.04174501448869705, 0.0009929996449500322, 0.0013622553087770939, 0.020288795232772827, 0.3337559401988983, 954.457142829895
8001, 0.026311395689845085, 0.00023262370086740702, 0.00040562282083556056, 0.021048761904239655, 0.29379522800445557, 1090.869329214096
9001, 0.02587105892598629, 0.00019550410797819495, 0.00046223445679061115, 0.021289203315973282, 0.2898252606391907, 1227.2818920612335
10001, 0.02586004137992859, 0.000255545717664063, 0.0007879053009673953, 0.020068643614649773, 0.29143226146698, 1363.7224102020264
11001, 0.024313759058713913, 0.00018955643463414162, 0.00035892368759959936, 0.01997515931725502, 0.27524086833000183, 1500.142270565033
12001, 0.024113981053233147, 0.00016840868920553476, 0.0008702318882569671, 0.019453376531600952, 0.26146429777145386, 1636.5633158683777
13001, 0.019336678087711334, 0.00016742160369176418, 0.00035013334127143025, 0.015449989587068558, 0.22514060139656067, 1772.9997236728668
14001, 0.02080588787794113, 0.00015790773613844067, 0.0003614404413383454, 0.017124991863965988, 0.2438347339630127, 1909.4362292289734
15001, 0.01852366328239441, 0.0001421369961462915, 0.00034285266883671284, 0.015196061693131924, 0.21631698310375214, 2045.9073014259338
16001, 0.017577311024069786, 0.00014848524006083608, 0.0002526632451917976, 0.014245633035898209, 0.2109437882900238, 2182.3549044132233
17001, 0.01610962674021721, 0.00011408719728933647, 0.00039446825394406915, 0.013342141173779964, 0.20043952763080597, 2318.802500486374
18001, 0.013413935899734497, 0.00010318187560187653, 0.0003088314551860094, 0.010945679619908333, 0.17356446385383606, 2455.24960064888
19001, 0.011881973594427109, 8.291783888125792e-05, 0.00024515032419003546, 0.009882437065243721, 0.1509854793548584, 2591.710448026657
20001, 0.011101149022579193, 8.357929618796334e-05, 0.00031530213891528547, 0.009121939539909363, 0.14117313921451569, 2728.2302215099335
21001, 0.01056856568902731, 7.310353248612955e-05, 0.00019512994913384318, 0.008833261206746101, 0.13590671122074127, 2864.7000172138214
22001, 0.010225732810795307, 6.275771011132747e-05, 0.00015435280511155725, 0.008722515776753426, 0.13057434558868408, 3001.1711354255676
23001, 0.009929130785167217, 6.942763866391033e-05, 0.00022324547171592712, 0.008228144608438015, 0.12907612323760986, 3137.6444792747498
24001, 0.009418239817023277, 6.147824024083093e-05, 0.00018572395492810756, 0.007949799299240112, 0.12345853447914124, 3274.109796524048
25001, 0.008990295231342316, 5.395297921495512e-05, 0.00015669205458834767, 0.0076896678656339645, 0.11649150401353836, 3410.6109240055084
26001, 0.008591676130890846, 4.7544508561259136e-05, 0.00015365310537163168, 0.007416800130158663, 0.1144610345363617, 3547.0939083099365
27001, 0.008660689927637577, 4.742153032566421e-05, 0.000151376414578408, 0.007494105026125908, 0.1127055212855339, 3683.573008298874
28001, 0.008313468657433987, 4.2452978959772736e-05, 0.00018724723486229777, 0.007223416585475206, 0.11104688048362732, 3820.0498118400574
29001, 0.008251847699284554, 4.343868204159662e-05, 0.00018814080976881087, 0.007119244430214167, 0.10900957137346268, 3956.521296977997
30001, 0.00797567330300808, 4.2329480493208393e-05, 0.00015799625543877482, 0.006899512838572264, 0.10928293317556381, 4093.0279943943024
31001, 0.008074091747403145, 4.024478403152898e-05, 0.0001481090293964371, 0.007046897895634174, 0.10748790204524994, 4229.502695322037
32001, 0.00799444317817688, 4.013782745460048e-05, 0.00013701555144507438, 0.006979187019169331, 0.10659445077180862, 4365.981182336807
33001, 0.007972173392772675, 3.990197728853673e-05, 0.00013951282016932964, 0.006960674189031124, 0.10675989836454391, 4502.466680765152
34001, 0.008167355321347713, 4.138141594012268e-05, 0.0001318869908573106, 0.007144594099372625, 0.10483978688716888, 4638.95131611824
35001, 0.007957606576383114, 3.992480560555123e-05, 0.00014625719632022083, 0.006946021690964699, 0.10404417663812637, 4775.483245611191
36001, 0.007734849117696285, 3.639935312094167e-05, 0.00013957894407212734, 0.006804265081882477, 0.10363121330738068, 4911.972937345505
37001, 0.007878806442022324, 3.755334546440281e-05, 0.0001387994852848351, 0.006923837587237358, 0.1037251204252243, 5048.46005153656
38001, 0.007689350284636021, 3.831662979791872e-05, 0.00014540323172695935, 0.00671223783865571, 0.1023460254073143, 5184.959129810333
39001, 0.007490227930247784, 3.871007720590569e-05, 0.00013327696069609374, 0.006524725817143917, 0.1017344743013382, 5321.485784292221
40001, 0.007780838757753372, 3.895856934832409e-05, 0.00014002472744323313, 0.006799568887799978, 0.10174542665481567, 5458.011010885239
41001, 0.00774249155074358, 3.867869600071572e-05, 0.0001469881390221417, 0.006757583003491163, 0.10026385635137558, 5594.504809856415
42001, 0.007566005457192659, 3.7707748560933396e-05, 0.0001429696276318282, 0.006602039095014334, 0.09967729449272156, 5731.001726150513
43001, 0.007529984228312969, 3.7309950130293146e-05, 0.00014143857697490603, 0.006578131578862667, 0.09949302673339844, 5867.496272563934
44001, 0.007691904436796904, 3.932621257263236e-05, 0.00013940980716142803, 0.0066977208480238914, 0.09914623945951462, 6004.074900865555
45001, 0.0074363769963383675, 3.8022441003704444e-05, 0.00014538143295794725, 0.006466146092861891, 0.09800256788730621, 6140.598693370819
46001, 0.0074751414358615875, 3.7561843782896176e-05, 0.00014926657604519278, 0.006513545755296946, 0.09861655533313751, 6277.092578411102
47001, 0.0074002561159431934, 3.7708148738602176e-05, 0.00014565449964720756, 0.006438341457396746, 0.09794093668460846, 6413.594077587128
48001, 0.007470172829926014, 3.8664249586872756e-05, 0.00015005847672000527, 0.0064859953708946705, 0.0976596549153328, 6550.122317314148
49001, 0.007436035200953484, 3.716970968525857e-05, 0.0001527576969237998, 0.00648188591003418, 0.09729909151792526, 6686.67303943634
50001, 0.0071202428080141544, 3.634803579188883e-05, 0.00015182094648480415, 0.006183287128806114, 0.09687413275241852, 6824.440616846085
51001, 0.007178311701864004, 3.638261841842905e-05, 0.00015131606778595597, 0.00623899744823575, 0.09647440910339355, 6960.931169748306
52001, 0.007192797958850861, 3.8264224713202566e-05, 0.00014789016859140247, 0.00621530506759882, 0.09675217419862747, 7097.430749416351
53001, 0.007153259124606848, 3.6674482544185594e-05, 0.00014855607878416777, 0.006210410501807928, 0.09625904262065887, 7233.9320113658905
54001, 0.007019921205937862, 3.724212001543492e-05, 0.0001510457950644195, 0.006063906010240316, 0.0964668020606041, 7370.430480003357
55001, 0.007195437327027321, 3.802670835284516e-05, 0.00015015863755252212, 0.006224889773875475, 0.09606434404850006, 7507.052537918091
56001, 0.007020090706646442, 3.7867765058763325e-05, 0.0001519108918728307, 0.006053588818758726, 0.09534746408462524, 7643.552659034729
57001, 0.007073202636092901, 3.633718006312847e-05, 0.00014714007556904107, 0.00614304980263114, 0.0951547622680664, 7780.043264865875
58001, 0.006977803073823452, 3.749350435100496e-05, 0.00014844292309135199, 0.006020586937665939, 0.09512735903263092, 7916.532269954681
59001, 0.007014574017375708, 3.713738260557875e-05, 0.00014885194832459092, 0.006068533752113581, 0.09497226774692535, 8053.020499229431
60001, 0.0071905250661075115, 3.825064413831569e-05, 0.00014815028407610953, 0.006220331881195307, 0.09451645612716675, 8189.543382167816
61001, 0.0071480777114629745, 3.7606863770633936e-05, 0.00014826359983999282, 0.006192222237586975, 0.0946420282125473, 8326.031419754028
62001, 0.006961126811802387, 3.642937372205779e-05, 0.00014913873746991158, 0.006023315247148275, 0.09404375404119492, 8462.523052930832
63001, 0.00700767058879137, 3.787656532949768e-05, 0.00014818778436165303, 0.006046207156032324, 0.09433946013450623, 8599.017410993576
64001, 0.00701343547552824, 3.7737911043222994e-05, 0.00015115873247850686, 0.006051909178495407, 0.09403439611196518, 8735.515046834946
65001, 0.006811403203755617, 3.7747464375570416e-05, 0.00014844977704342455, 0.005854861345142126, 0.09350011497735977, 8872.05853009224
