epoch,loss,loss_ics_value,loss_bcs_value,loss_res_value,err_val,runtime
1, 7.256587982177734, 0.32159748673439026, 0.610301673412323, 0.2143370658159256, 3.2484450340270996, 0
1001, 0.04429192095994949, 0.000975017377641052, 0.002212998690083623, 0.02257857657968998, 0.33030617237091064, 136.27119493484497
2001, 0.030613122507929802, 0.0004103383107576519, 0.0010279916459694505, 0.02137836441397667, 0.31002843379974365, 272.72202348709106
3001, 0.02854129672050476, 0.0002552459773141891, 0.002194154541939497, 0.02124222181737423, 0.291000097990036, 409.2380881309509
4001, 0.029275398701429367, 0.000286119116935879, 0.003006640588864684, 0.020546376705169678, 0.27750489115715027, 545.7612218856812
5001, 0.06323455274105072, 0.002017122460529208, 0.003472184296697378, 0.019419923424720764, 0.35064759850502014, 682.3043582439423
6001, 0.03937781602144241, 0.0008701964979991317, 0.0013229084433987737, 0.02065097913146019, 0.3192657232284546, 818.817281961441
7001, 0.03075825795531273, 0.0003832802758552134, 0.0007167122093960643, 0.022375941276550293, 0.3087226152420044, 955.330078125
8001, 0.026195557788014412, 0.00023009888536762446, 0.000472735584480688, 0.021120844408869743, 0.2902078926563263, 1091.8514728546143
9001, 0.025362029671669006, 0.0002140728902304545, 0.00038201804272830486, 0.020698554813861847, 0.28014785051345825, 1228.3788228034973
10001, 0.025066761299967766, 0.00020556006347760558, 0.0006130557740107179, 0.020342504605650902, 0.267787367105484, 1364.9450402259827
11001, 0.021708769723773003, 0.00018164936045650393, 0.00045292015420272946, 0.01762286201119423, 0.24884983897209167, 1501.476830482483
12001, 0.013583806343376637, 0.00011019106750609353, 0.0003190716961398721, 0.01106091309338808, 0.16479884088039398, 1638.024463891983
13001, 0.011094414629042149, 0.00010282247239956632, 0.00020268831576686352, 0.00883527658879757, 0.14252643287181854, 1774.5656111240387
14001, 0.00957985408604145, 7.152209582272917e-05, 0.00023350687115453184, 0.007915905676782131, 0.12645752727985382, 1911.1388478279114
15001, 0.057914137840270996, 0.0016532238805666566, 0.00305876974016428, 0.021790890023112297, 0.3776000440120697, 2047.7698857784271
16001, 0.03539087250828743, 0.0006365423323586583, 0.0016969467978924513, 0.02096308022737503, 0.3030662536621094, 2184.371118783951
17001, 0.031001150608062744, 0.0005467967712320387, 0.0009607445681467652, 0.019104471430182457, 0.2945846617221832, 2320.95360994339
18001, 0.024980945512652397, 0.0002870745665859431, 0.0007518911734223366, 0.018487563356757164, 0.2687796950340271, 2457.54487156868
19001, 0.027097532525658607, 0.0003740376851055771, 0.0016707985196262598, 0.01794598065316677, 0.2543198764324188, 2594.1427001953125
20001, 0.020146794617176056, 0.00019616103963926435, 0.0006789641338400543, 0.015544610098004341, 0.2319616824388504, 2730.794797182083
21001, 0.01735852099955082, 0.00014220633602235466, 0.0006006488110870123, 0.013913745060563087, 0.20750287175178528, 2867.439598798752
22001, 0.013589305803179741, 9.790067269932479e-05, 0.00042956642573699355, 0.011201725341379642, 0.16864646971225739, 3004.050773382187
23001, 0.011067318730056286, 0.00010202149860560894, 0.00032307946821674705, 0.008703809231519699, 0.14420749247074127, 3140.6827635765076
24001, 0.00967821478843689, 6.46100306767039e-05, 0.0002566963667050004, 0.008129318244755268, 0.12245851755142212, 3277.2789635658264
25001, 0.009048478677868843, 4.8120375140570104e-05, 0.00036586608621291816, 0.007720205467194319, 0.11233384907245636, 3413.935140609741
26001, 0.008268175646662712, 4.274010643712245e-05, 0.00017529164324514568, 0.007238082122057676, 0.11156018823385239, 3550.5345933437347
27001, 0.008260113187134266, 5.3580206440528855e-05, 0.00023243647592607886, 0.006956072989851236, 0.10981053113937378, 3687.1310319900513
28001, 0.008213641121983528, 4.135584822506644e-05, 0.0007252785144373775, 0.0066612460650503635, 0.09994574636220932, 3823.742007493973
29001, 0.00694776838645339, 3.5896733606932685e-05, 0.00024046019825618714, 0.005989373661577702, 0.09755682200193405, 3960.3410592079163
30001, 0.006684805732220411, 4.595269638230093e-05, 0.00022191407333593816, 0.0055438377894461155, 0.0961649939417839, 4096.9892201423645
31001, 0.005847282242029905, 3.147898678435013e-05, 0.00016014442371670157, 0.005057557951658964, 0.08586803823709488, 4233.612627506256
32001, 0.005533549003303051, 2.4405893782386556e-05, 0.00016302260337397456, 0.004882408306002617, 0.08163172006607056, 4370.222908973694
33001, 0.0053564924746751785, 3.0429315302171744e-05, 0.00013668030442204326, 0.004611225798726082, 0.07953578233718872, 4506.862141132355
34001, 0.005042929667979479, 2.988738015119452e-05, 0.00017471026512794197, 0.004270471632480621, 0.07798770815134048, 4643.477771282196
35001, 0.004739063326269388, 2.580645559646655e-05, 0.00018065064796246588, 0.00404228363186121, 0.07093732059001923, 4780.158690214157
36001, 0.004443008452653885, 2.187849531765096e-05, 0.0002634917327668518, 0.003741947002708912, 0.06657060235738754, 4916.808542728424
37001, 0.004139783326536417, 2.623869659146294e-05, 0.00010871495032915846, 0.0035062944516539574, 0.06453584134578705, 5053.415808200836
38001, 0.004164714366197586, 2.8035299692419358e-05, 0.00020229608344379812, 0.0034017120487987995, 0.06582190096378326, 5190.034867525101
39001, 0.0038233259692788124, 2.3607966795680113e-05, 0.00010238285176455975, 0.0032487837597727776, 0.06290849298238754, 5326.645639896393
40001, 0.003688345430418849, 1.964113107533194e-05, 0.0001018717375700362, 0.003193651093170047, 0.059475116431713104, 5463.285824775696
41001, 0.0037591008003801107, 1.982947469514329e-05, 0.00011526383605087176, 0.0032472475431859493, 0.060652416199445724, 5599.893718481064
