epoch,loss,loss_ics_value,loss_bcs_value,loss_res_value,err_val,runtime
1, 7.256587982177734, 0.32159748673439026, 0.610301673412323, 0.2143370658159256, 3.2484450340270996, 0
101, 0.6900432109832764, 0.031622301787137985, 0.0494857057929039, 0.008111465722322464, 0.8885994553565979, 13.912097454071045
201, 0.6644793152809143, 0.030119549483060837, 0.034047797322273254, 0.02804051898419857, 1.0326377153396606, 27.82290816307068
301, 0.4651790261268616, 0.015066849067807198, 0.10315851867198944, 0.060683563351631165, 0.9170372486114502, 41.741673946380615
401, 0.06228666007518768, 0.0018174408469349146, 0.0032268944196403027, 0.022710951045155525, 0.3798132538795471, 55.65137767791748
501, 0.050909847021102905, 0.001357686473056674, 0.0020808924455195665, 0.021675221621990204, 0.3414272964000702, 69.58066415786743
601, 0.04865141957998276, 0.0012262302916496992, 0.0019273982616141438, 0.022199412807822227, 0.3342071771621704, 83.51337742805481
701, 0.04596666619181633, 0.001146606169641018, 0.0015326738357543945, 0.021501868963241577, 0.3349756896495819, 97.4266107082367
801, 0.044744305312633514, 0.0011001810198649764, 0.0014580419519916177, 0.02128264121711254, 0.3360574543476105, 111.34169411659241
901, 0.04474417492747307, 0.0010491980938240886, 0.0016895015724003315, 0.022070711478590965, 0.33722469210624695, 125.25842928886414
1000, 0.04581330716609955, 0.0010491980938240886, 0.0016895015724003315, 0.022070711478590965, 0.33722469210624695, 138.79757571220398
