epoch,loss,loss_data_value,loss_res_value,err_val,runtime
1, 961.4609375, 0.09617145359516144, 342.3144226074219, 0.9978312253952026, 0
1001, 71.88091278076172, 0.005983392708003521, 12.635465621948242, 0.31585562229156494, 15.886290550231934
2001, 183.80557250976562, 0.013604482635855675, 18.035959243774414, 0.20353056490421295, 31.774458169937134
3001, 56.151710510253906, 0.00314696179702878, 17.011859893798828, 0.17183108627796173, 47.68324398994446
4001, 59.74894332885742, 0.0030957539565861225, 12.651497840881348, 0.1543857753276825, 63.5475492477417
5001, 48.08509826660156, 0.002954992698505521, 8.423863410949707, 0.17654284834861755, 79.52373766899109
6001, 16.861791610717773, 0.0019644820131361485, 5.907883167266846, 0.19093674421310425, 95.44280242919922
7001, 15.19617748260498, 0.0006827217875979841, 4.320158958435059, 0.1727801412343979, 111.30270767211914
8001, 26.66876220703125, 0.0011943414574488997, 8.608603477478027, 0.1755419671535492, 127.18881797790527
9001, 103.4896011352539, 0.007878950797021389, 15.018852233886719, 0.16612084209918976, 142.98912262916565
10001, 50.856407165527344, 0.0023531485348939896, 12.880742073059082, 0.16460685431957245, 166.51455187797546
11001, 58.99058532714844, 0.003106525167822838, 11.280359268188477, 0.16533052921295166, 182.39658093452454
12001, 20.969905853271484, 0.0011492148041725159, 7.321300983428955, 0.16699650883674622, 198.2535674571991
13001, 8.63282585144043, 0.0003354367217980325, 4.996111869812012, 0.16593870520591736, 214.0434432029724
14001, 12.791707038879395, 0.000602712738327682, 4.044508457183838, 0.1650218665599823, 229.8341190814972
15001, 13.117464065551758, 0.0005422154208645225, 8.398327827453613, 0.16423510015010834, 245.80426359176636
16001, 96.5436019897461, 0.00753073301166296, 14.698613166809082, 0.16291379928588867, 261.6849265098572
17001, 45.23588180541992, 0.002549703698605299, 12.700923919677734, 0.16156089305877686, 277.567946434021
18001, 44.26838684082031, 0.0025872064288705587, 10.904593467712402, 0.15592634677886963, 293.45954966545105
19001, 19.951034545898438, 0.0011826645350083709, 7.874433517456055, 0.23101535439491272, 309.33946108818054
20001, 8.248051643371582, 0.00032497989013791084, 5.175870895385742, 0.16018426418304443, 334.8047397136688
21001, 50.96074676513672, 0.002462225267663598, 4.811662673950195, 0.14353033900260925, 350.61017990112305
22001, 12.008621215820312, 0.0004338317085057497, 8.299304962158203, 0.23983880877494812, 366.40046215057373
23001, 77.486083984375, 0.005808773450553417, 13.675722122192383, 0.1485069841146469, 382.1844747066498
24001, 41.13955307006836, 0.0023202630691230297, 12.459734916687012, 0.14126664400100708, 398.00852942466736
25001, 37.2316780090332, 0.00236042239703238, 10.694911003112793, 0.13643617928028107, 413.94824624061584
26001, 17.075443267822266, 0.0010241891723126173, 7.384559631347656, 0.2517850995063782, 429.7813329696655
27001, 8.816645622253418, 0.0003375470114406198, 5.2749128341674805, 0.1354125291109085, 445.62242794036865
28001, 9.192955017089844, 0.0004036619793623686, 3.9171371459960938, 0.14059554040431976, 461.5218951702118
29001, 9.967426300048828, 0.00023252380196936429, 7.819164752960205, 0.12509940564632416, 477.4516546726227
30001, 34.798377990722656, 0.0021567975636571646, 12.726024627685547, 0.1230967715382576, 501.74316787719727
31001, 35.09292984008789, 0.0016861510230228305, 13.556668281555176, 0.10169249027967453, 517.6508309841156
32001, 23.084636688232422, 0.0011372080771252513, 11.677392959594727, 0.12298935651779175, 533.5250837802887
33001, 13.935184478759766, 0.0004538355569820851, 8.433727264404297, 0.10687078535556793, 549.3701694011688
34001, 7.320858955383301, 0.00023028346186038107, 4.904007911682129, 0.095960833132267, 565.2383835315704
35001, 5.926760196685791, 0.00021154429123271257, 3.3096020221710205, 0.09097107499837875, 581.2487976551056
36001, 10.150739669799805, 0.00035043281968683004, 7.632110118865967, 0.0918833538889885, 597.10573554039
37001, 22.379301071166992, 0.0010445233201608062, 12.843536376953125, 0.08958088606595993, 612.9754884243011
38001, 22.60733413696289, 0.0008184477337636054, 14.109197616577148, 0.09083706885576248, 628.8547682762146
39001, 19.06142234802246, 0.0006776392110623419, 12.143827438354492, 0.09477348625659943, 644.7038609981537
40001, 12.033315658569336, 0.00044968744623474777, 7.651315212249756, 0.08535358309745789, 670.553760766983
41001, 7.3481645584106445, 0.0002765464305412024, 4.690323352813721, 0.08878306299448013, 686.4706480503082
42001, 4.830263614654541, 0.00014468099107034504, 3.3177199363708496, 0.0799110159277916, 702.3658585548401
43001, 10.033151626586914, 0.00026116668595932424, 7.670777320861816, 0.0833958089351654, 718.2684514522552
44001, 21.95482635498047, 0.0007662279531359673, 13.590475082397461, 0.11097808927297592, 734.1731762886047
45001, 22.703739166259766, 0.0009239285136573017, 13.465001106262207, 0.08251352608203888, 750.2062678337097
46001, 18.932315826416016, 0.0005793482414446771, 12.155414581298828, 0.07589792460203171, 766.1165955066681
47001, 11.661272048950195, 0.00041193090146407485, 7.578836441040039, 0.08402318507432938, 782.031357049942
48001, 7.81091833114624, 0.0002674587012734264, 4.964348793029785, 0.07916700839996338, 797.8999824523926
49001, 4.995987892150879, 0.00016280707495752722, 3.338765859603882, 0.07398238033056259, 813.7763941287994
50001, 9.66463851928711, 0.00018210879352409393, 7.864260673522949, 0.07430485635995865, 838.127660036087
51001, 19.704931259155273, 0.0005711624980904162, 12.913732528686523, 0.0735619068145752, 854.0220808982849
52001, 20.606273651123047, 0.0006492769462056458, 14.170232772827148, 0.07377798855304718, 869.8775427341461
53001, 17.301258087158203, 0.0005323266959749162, 12.135188102722168, 0.07282859086990356, 885.7410027980804
